地名,センター,資源, 可燃ごみ,不燃ごみ,ペットボトル
赤堤 1・3~5,世田谷,木,水 土,月2 月4,月1 月3
赤堤 2,世田谷,土,火 金,木2 木4,木1 木3
池尻 1・2,世田谷,金,月 木,火2 火4,火1 火3
池尻 3,世田谷,金,月 木,土1 土3,土2 土4
池尻 4,世田谷,水,月 木,土1 土3,土2 土4
宇奈根 1~3,砧,月,火 金,土2 土4,土1 土3
梅丘 1~3,世田谷,土,火 金,水2 水4,水1 水3
大蔵 1~4,砧,木,火 金,土1 土3,土2 土4
大蔵 5・6,砧,月,火 金,水1 水3,水2 水4
大原 1,世田谷,水,月 木,土2 土4,土1 土3
大原 2,世田谷,土,火 金,木1 木3,木2 木4
岡本 1~3,砧,木,火 金,土2 土4,土1 土3
奥沢 1・3・4,玉川,水,月 木,金1 金3,金2 金4
奥沢 2・5・6,玉川,水,月 木,金2 金4,金1 金3
奥沢 7,玉川,土,月 木,火1 火3,火2 火4
奥沢 8,玉川,土,月 木,金2 金4,金1 金3
尾山台 1~3,玉川,土,月 木,火2 火4,火1 火3
粕谷 1・2,砧,金,水 土,木2 木4,木1 木3
粕谷 3・4,砧,火,水 土,木2 木4,木1 木3
鎌田 1~4,砧,木,火 金,土2 土4,土1 土3
上馬 1~3,世田谷,月,火 金,水1 水3,水2 水4
上馬 4・5,世田谷,月,水 土,金1 金3,金2 金4
上北沢 1~4,砧,土,月 木,火1 火3,火2 火4
上北沢 5,砧,土,月 木,火2 火4,火1 火3
上祖師谷 1・2・5~7,砧,火,水 土,木2 木4,木1 木3
上祖師谷 3・4,砧,火,水 土,木1 木3,木2 木4
上野毛 1・4,玉川,木,火 金,土2 土4,土1 土3
上野毛 2・3,玉川,火,水 土,月1 月3,月2 月4
上用賀 1~4,玉川,金,水 土,木1 木3,木2 木4
上用賀 5・6,玉川,火,水 土,木1 木3,木2 木4
北烏山 1・3,砧,水,月 木,火2 火4,火1 火3
北烏山 2・4~9,砧,水,月 木,金2 金4,金1 金3
北沢 1~5,世田谷,水,月 木,土2 土4,土1 土3
喜多見 1~9,砧,月,火 金,水1 水3,水2 水4
砧 1~5,砧,木,火 金,土1 土3,土2 土4
砧 6・8,砧,木,火 金,水2 水4,水1 水3
砧 7,砧,月,火 金,水2 水4,水1 水3
砧公園,砧,木,火 金,土1 土3,土2 土4
給田 1~3,砧,土,月 木,金1 金3,金2 金4
給田 4・5,砧,水,月 木,金1 金3,金2 金4
経堂 1・4・5,世田谷,木,水 土,月1 月3,月2 月4
経堂 2・3,世田谷,木,水 土,月2 月4,月1 月3
豪徳寺 1,世田谷,土,火 金,木2 木4,木1 木3
豪徳寺 2,世田谷,火,水 土,金2 金4,金1 金3
駒沢 1,世田谷,月,火 金,水1 水3,水2 水4
駒沢 2,世田谷,月,水 土,金1 金3,金2 金4
駒沢 3,玉川,金,水 土,木2 木4,木1 木3
駒沢 4・5,玉川,月,火 金,水2 水4,水1 水3
駒沢公園,玉川,月,火 金,水2 水4,水1 水3
桜 1・2,世田谷,木,水 土,金2 金4,金1 金3
桜 3,世田谷,火,水 土,金2 金4,金1 金3
桜丘 1~5,世田谷,火,水 土,月1 月3,月2 月4
桜新町 1・2,玉川,金,水 土,木2 木4,木1 木3
桜上水 1~5,世田谷,木,水 土,月2 月4,月1 月3
三軒茶屋 1,世田谷,金,月 木,火2 火4,火1 火3
三軒茶屋 2,世田谷,月,火 金,水1 水3,水2 水4
下馬 1・3~6,世田谷,金,月 木,火1 火3,火2 火4
下馬 2,世田谷,金,月 木,火2 火4,火1 火3
新町 1,玉川,月,火 金,水2 水4,水1 水3
新町 2・3,玉川,金,水 土,木2 木4,木1 木3
成城 1~6,砧,月,火 金,水2 水4,水1 水3
成城 7~9,砧,火,水 土,木1 木3,木2 木4
瀬田 1・2,玉川,火,水 土,月1 月3,月2 月4
瀬田 3,玉川,木,水 土,月1 月3,月2 月4
瀬田 4・5,玉川,火,水 土,月2 月4,月1 月3
世田谷 1~4,世田谷,火,水 土,金2 金4,金1 金3
祖師谷 1・2,砧,金,水 土,月2 月4,月1 月3
祖師谷 3,砧,火,水 土,月2 月4,月1 月3
祖師谷 4~6,砧,火,水 土,木1 木3,木2 木4
太子堂 1・2,世田谷,金,月 木,火2 火4,火1 火3
太子堂 3,世田谷,水,月 木,土1 土3,土2 土4
太子堂 4・5,世田谷,月,火 金,水2 水4,水1 水3
代沢 1~3・5,世田谷,水,月 木,土1 土3,土2 土4
代沢 4,世田谷,月,火 金,木1 木3,木2 木4
代田 1,世田谷,月,火 金,木1 木3,木2 木4
代田 2・5,世田谷,水,火 金,木1 木3,木2 木4
代田 3,世田谷,土,火 金,水2 水4,水1 水3
代田 4,世田谷,土,火 金,木1 木3,木2 木4
代田 6,世田谷,水,月 木,土2 土4,土1 土3
玉川 1・2,玉川,火,水 土,月1 月3,月2 月4
玉川 3・4,玉川,火,水 土,月2 月4,月1 月3
玉川台 1・2,玉川,火,水 土,月2 月4,月1 月3
玉川田園調布 1・2,玉川,水,月 木,金2 金4,金1 金3
玉堤 1・2,玉川,土,月 木,火2 火4,火1 火3
千歳台 1~6,砧,金,水 土,月2 月4,月1 月3
弦巻 1~5,世田谷,火,水 土,金1 金3,金2 金4
等々力 1・2,玉川,土,月 木,火2 火4,火1 火3
等々力 3,玉川,木,火 金,土1 土3,土2 土4
等々力 4・5・6,玉川,土,月 木,火1 火3,火2 火4
等々力 7,玉川,月,火 金,水1 水3,水2 水4
等々力 8,玉川,月,火 金,土1 土3,土2 土4
中町 1・5,玉川,木,火 金,土2 土4,土1 土3
中町 2~4,玉川,木,火 金,土1 土3,土2 土4
野毛 1~3,玉川,木,火 金,土2 土4,土1 土3
野沢 1・2・4,世田谷,月,火 金,水1 水3,水2 水4
野沢 3,世田谷,金,月 木,火1 火3,火2 火4
八幡山 1~3,砧,土,月 木,火1 火3,火2 火4
羽根木 1・2,世田谷,土,火 金,木1 木3,木2 木4
東玉川 1・2,玉川,水,月 木,金1 金3,金2 金4
深沢 1~4,玉川,月,火 金,水1 水3,水2 水4
深沢 5,玉川,月,火 金,土1 土3,土2 土4
深沢 6・7,玉川,月,火 金,水2 水4,水1 水3
深沢 8,玉川,木,火 金,水2 水4,水1 水3
船橋 1~7,砧,金,水 土,月1 月3,月2 月4
松原 1~5,世田谷,土,火 金,木2 木4,木1 木3
松原 6,世田谷,土,火 金,木1 木3,木2 木4
三宿 1,世田谷,金,月 木,火2 火4,火1 火3
三宿 2,世田谷,水,月 木,土1 土3,土2 土4
南烏山 1・2・5,砧,土,月 木,火2 火4,火1 火3
南烏山 3・4・6,砧,水,月 木,金1 金3,金2 金4
宮坂 1・2,世田谷,木,水 土,月1 月3,月2 月4
宮坂 3,世田谷,木,水 土,月2 月4,月1 月3
用賀 1,玉川,木,水 土,月1 月3,月2 月4
用賀 2,玉川,金,水 土,木2 木4,木1 木3
用賀 3・4,玉川,金,水 土,木1 木3,木2 木4
若林 1・2,世田谷,月,火 金,水2 水4,水1 水3
若林 3・4,世田谷,火,水 土,金2 金4,金1 金3
若林 5,世田谷,土,火 金,水2 水4,水1 水3
